,Year ending March,Postcode,Suburb/Town Name,Offence Division,Offence Subdivision,Offence Subgroup,Incidents Recorded,Offence Subgroup Code,Offence Subgroup Name,Crime Severity,Severity Total Score
16314,2018,3337,TOOLERN VALE,A Crimes against the person,A80 Dangerous and negligent acts endangering people,A89 Other dangerous or negligent acts endangering people,2,A89,Other dangerous or negligent acts endangering people,7,14
16315,2018,3337,TOOLERN VALE,A Crimes against the person,A80 Dangerous and negligent acts endangering people,A83 Throw or discharge object endangering people,1,A83,Throw or discharge object endangering people,7,7
16316,2018,3337,TOOLERN VALE,A Crimes against the person,A80 Dangerous and negligent acts endangering people,A81 Dangerous driving,1,A81,Dangerous driving,7,7
16332,2018,3338,BROOKFIELD,A Crimes against the person,A20 Assault and related offences,A232 Non-FV Common assault,2,A232,Non-FV Common assault,10,20
16334,2018,3338,BROOKFIELD,A Crimes against the person,A20 Assault and related offences,A212 Non-FV Serious assault,8,A212,Non-FV Serious assault,10,80
16338,2018,3338,BROOKFIELD,A Crimes against the person,"A70 Stalking, harassment and threatening behaviour",A722 Non-FV Harassment and private nuisance,1,A722,Non-FV Harassment and private nuisance,8,8
16341,2018,3338,BROOKFIELD,A Crimes against the person,A80 Dangerous and negligent acts endangering people,A89 Other dangerous or negligent acts endangering people,8,A89,Other dangerous or negligent acts endangering people,7,56
16342,2018,3338,BROOKFIELD,A Crimes against the person,A80 Dangerous and negligent acts endangering people,A83 Throw or discharge object endangering people,1,A83,Throw or discharge object endangering people,7,7
16343,2018,3338,BROOKFIELD,A Crimes against the person,A80 Dangerous and negligent acts endangering people,A81 Dangerous driving,2,A81,Dangerous driving,7,14
16365,2018,3338,BROOKFIELD,D Public order and security offences,D20 Disorderly and offensive conduct,D22 Drunk and disorderly in public,3,D22,Drunk and disorderly in public,4,12
16366,2018,3338,BROOKFIELD,D Public order and security offences,D20 Disorderly and offensive conduct,D21 Riot and affray,2,D21,Riot and affray,6,12
16375,2018,3338,COBBLEBANK,A Crimes against the person,A80 Dangerous and negligent acts endangering people,A81 Dangerous driving,1,A81,Dangerous driving,7,7
16399,2018,3338,MELTON SOUTH,A Crimes against the person,A20 Assault and related offences,A232 Non-FV Common assault,17,A232,Non-FV Common assault,10,170
16401,2018,3338,MELTON SOUTH,A Crimes against the person,A20 Assault and related offences,A212 Non-FV Serious assault,35,A212,Non-FV Serious assault,10,350
16406,2018,3338,MELTON SOUTH,A Crimes against the person,"A70 Stalking, harassment and threatening behaviour",A732 Non-FV Threatening behaviour,12,A732,Non-FV Threatening behaviour,7,84
16408,2018,3338,MELTON SOUTH,A Crimes against the person,"A70 Stalking, harassment and threatening behaviour",A722 Non-FV Harassment and private nuisance,1,A722,Non-FV Harassment and private nuisance,8,8
16411,2018,3338,MELTON SOUTH,A Crimes against the person,A80 Dangerous and negligent acts endangering people,A89 Other dangerous or negligent acts endangering people,10,A89,Other dangerous or negligent acts endangering people,7,70
16412,2018,3338,MELTON SOUTH,A Crimes against the person,A80 Dangerous and negligent acts endangering people,A83 Throw or discharge object endangering people,3,A83,Throw or discharge object endangering people,7,21
16413,2018,3338,MELTON SOUTH,A Crimes against the person,A80 Dangerous and negligent acts endangering people,A81 Dangerous driving,11,A81,Dangerous driving,7,77
16436,2018,3338,MELTON SOUTH,D Public order and security offences,D10 Weapons and explosives offences,D13 Explosives offences,1,D13,Explosives offences,6,6
16439,2018,3338,MELTON SOUTH,D Public order and security offences,D20 Disorderly and offensive conduct,D23 Offensive conduct,2,D23,Offensive conduct,5,10
16440,2018,3338,MELTON SOUTH,D Public order and security offences,D20 Disorderly and offensive conduct,D22 Drunk and disorderly in public,4,D22,Drunk and disorderly in public,4,16
16441,2018,3338,MELTON SOUTH,D Public order and security offences,D30 Public nuisance offences,D35 Improper movement on public or private space,4,D35,Improper movement on public or private space,4,16
16450,2018,3338,STRATHTULLOH,A Crimes against the person,"A70 Stalking, harassment and threatening behaviour",A732 Non-FV Threatening behaviour,1,A732,Non-FV Threatening behaviour,7,7
16459,2018,3340,BACCHUS MARSH,A Crimes against the person,A20 Assault and related offences,A232 Non-FV Common assault,11,A232,Non-FV Common assault,10,110
16461,2018,3340,BACCHUS MARSH,A Crimes against the person,A20 Assault and related offences,A212 Non-FV Serious assault,20,A212,Non-FV Serious assault,10,200
16464,2018,3340,BACCHUS MARSH,A Crimes against the person,"A70 Stalking, harassment and threatening behaviour",A732 Non-FV Threatening behaviour,2,A732,Non-FV Threatening behaviour,7,14
16467,2018,3340,BACCHUS MARSH,A Crimes against the person,"A70 Stalking, harassment and threatening behaviour",A712 Non-FV Stalking,1,A712,Non-FV Stalking,10,10
16469,2018,3340,BACCHUS MARSH,A Crimes against the person,A80 Dangerous and negligent acts endangering people,A89 Other dangerous or negligent acts endangering people,19,A89,Other dangerous or negligent acts endangering people,7,133
16470,2018,3340,BACCHUS MARSH,A Crimes against the person,A80 Dangerous and negligent acts endangering people,A83 Throw or discharge object endangering people,5,A83,Throw or discharge object endangering people,7,35
16471,2018,3340,BACCHUS MARSH,A Crimes against the person,A80 Dangerous and negligent acts endangering people,A81 Dangerous driving,1,A81,Dangerous driving,7,7
16496,2018,3340,BACCHUS MARSH,D Public order and security offences,D20 Disorderly and offensive conduct,D26 Disorderly conduct,1,D26,Disorderly conduct,5,5
16498,2018,3340,BACCHUS MARSH,D Public order and security offences,D20 Disorderly and offensive conduct,D24 Offensive language,2,D24,Offensive language,3,6
16499,2018,3340,BACCHUS MARSH,D Public order and security offences,D20 Disorderly and offensive conduct,D23 Offensive conduct,6,D23,Offensive conduct,5,30
16500,2018,3340,BACCHUS MARSH,D Public order and security offences,D20 Disorderly and offensive conduct,D22 Drunk and disorderly in public,10,D22,Drunk and disorderly in public,4,40
16501,2018,3340,BACCHUS MARSH,D Public order and security offences,D20 Disorderly and offensive conduct,D21 Riot and affray,1,D21,Riot and affray,6,6
16502,2018,3340,BACCHUS MARSH,D Public order and security offences,D30 Public nuisance offences,D36 Other public nuisance offences,1,D36,Other public nuisance offences,7,7
16503,2018,3340,BACCHUS MARSH,D Public order and security offences,D30 Public nuisance offences,D35 Improper movement on public or private space,1,D35,Improper movement on public or private space,4,4
16522,2018,3340,BALLIANG,D Public order and security offences,D30 Public nuisance offences,D35 Improper movement on public or private space,1,D35,Improper movement on public or private space,4,4
16526,2018,3340,BALLIANG EAST,A Crimes against the person,A80 Dangerous and negligent acts endangering people,A89 Other dangerous or negligent acts endangering people,1,A89,Other dangerous or negligent acts endangering people,7,7
16527,2018,3340,BALLIANG EAST,A Crimes against the person,A80 Dangerous and negligent acts endangering people,A81 Dangerous driving,1,A81,Dangerous driving,7,7
16534,2018,3340,COIMADAI,A Crimes against the person,A20 Assault and related offences,A212 Non-FV Serious assault,1,A212,Non-FV Serious assault,10,10
16545,2018,3340,DARLEY,A Crimes against the person,A20 Assault and related offences,A232 Non-FV Common assault,1,A232,Non-FV Common assault,10,10
16547,2018,3340,DARLEY,A Crimes against the person,A20 Assault and related offences,A212 Non-FV Serious assault,5,A212,Non-FV Serious assault,10,50
16549,2018,3340,DARLEY,A Crimes against the person,"A70 Stalking, harassment and threatening behaviour",A732 Non-FV Threatening behaviour,1,A732,Non-FV Threatening behaviour,7,7
16551,2018,3340,DARLEY,A Crimes against the person,"A70 Stalking, harassment and threatening behaviour",A722 Non-FV Harassment and private nuisance,2,A722,Non-FV Harassment and private nuisance,8,16
16554,2018,3340,DARLEY,A Crimes against the person,A80 Dangerous and negligent acts endangering people,A83 Throw or discharge object endangering people,2,A83,Throw or discharge object endangering people,7,14
16555,2018,3340,DARLEY,A Crimes against the person,A80 Dangerous and negligent acts endangering people,A81 Dangerous driving,1,A81,Dangerous driving,7,7
16578,2018,3340,DARLEY,D Public order and security offences,D20 Disorderly and offensive conduct,D22 Drunk and disorderly in public,1,D22,Drunk and disorderly in public,4,4
16579,2018,3340,DARLEY,D Public order and security offences,D30 Public nuisance offences,D35 Improper movement on public or private space,1,D35,Improper movement on public or private space,4,4
16584,2018,3340,HOPETOUN PARK,A Crimes against the person,A20 Assault and related offences,A232 Non-FV Common assault,2,A232,Non-FV Common assault,10,20
16594,2018,3340,LONG FOREST,A Crimes against the person,A80 Dangerous and negligent acts endangering people,A89 Other dangerous or negligent acts endangering people,2,A89,Other dangerous or negligent acts endangering people,7,14
16595,2018,3340,LONG FOREST,A Crimes against the person,A80 Dangerous and negligent acts endangering people,A81 Dangerous driving,1,A81,Dangerous driving,7,7
16603,2018,3340,LONG FOREST,D Public order and security offences,D30 Public nuisance offences,D36 Other public nuisance offences,2,D36,Other public nuisance offences,7,14
16605,2018,3340,MADDINGLEY,A Crimes against the person,A20 Assault and related offences,A232 Non-FV Common assault,4,A232,Non-FV Common assault,10,40
16607,2018,3340,MADDINGLEY,A Crimes against the person,A20 Assault and related offences,A212 Non-FV Serious assault,2,A212,Non-FV Serious assault,10,20
16642,2018,3340,PARWAN,A Crimes against the person,A20 Assault and related offences,A232 Non-FV Common assault,1,A232,Non-FV Common assault,10,10
16649,2018,3340,ROWSLEY,A Crimes against the person,A20 Assault and related offences,A212 Non-FV Serious assault,1,A212,Non-FV Serious assault,10,10
16666,2018,3341,GREENDALE,D Public order and security offences,D20 Disorderly and offensive conduct,D22 Drunk and disorderly in public,1,D22,Drunk and disorderly in public,4,4
16668,2018,3341,MYRNIONG,A Crimes against the person,A20 Assault and related offences,A212 Non-FV Serious assault,1,A212,Non-FV Serious assault,10,10
16670,2018,3341,MYRNIONG,A Crimes against the person,A80 Dangerous and negligent acts endangering people,A89 Other dangerous or negligent acts endangering people,4,A89,Other dangerous or negligent acts endangering people,7,28
16671,2018,3341,MYRNIONG,A Crimes against the person,A80 Dangerous and negligent acts endangering people,A81 Dangerous driving,1,A81,Dangerous driving,7,7
16683,2018,3341,PENTLAND HILLS,A Crimes against the person,A80 Dangerous and negligent acts endangering people,A89 Other dangerous or negligent acts endangering people,1,A89,Other dangerous or negligent acts endangering people,7,7
16684,2018,3341,PENTLAND HILLS,A Crimes against the person,A80 Dangerous and negligent acts endangering people,A83 Throw or discharge object endangering people,2,A83,Throw or discharge object endangering people,7,14
16692,2018,3341,PENTLAND HILLS,D Public order and security offences,D30 Public nuisance offences,D36 Other public nuisance offences,1,D36,Other public nuisance offences,7,7
16694,2018,3342,BALLAN,A Crimes against the person,A20 Assault and related offences,A232 Non-FV Common assault,1,A232,Non-FV Common assault,10,10
16696,2018,3342,BALLAN,A Crimes against the person,A20 Assault and related offences,A212 Non-FV Serious assault,4,A212,Non-FV Serious assault,10,40
16698,2018,3342,BALLAN,A Crimes against the person,"A70 Stalking, harassment and threatening behaviour",A732 Non-FV Threatening behaviour,2,A732,Non-FV Threatening behaviour,7,14
16701,2018,3342,BALLAN,A Crimes against the person,A80 Dangerous and negligent acts endangering people,A89 Other dangerous or negligent acts endangering people,2,A89,Other dangerous or negligent acts endangering people,7,14
16702,2018,3342,BALLAN,A Crimes against the person,A80 Dangerous and negligent acts endangering people,A81 Dangerous driving,1,A81,Dangerous driving,7,7
16738,2018,3342,INGLISTON,A Crimes against the person,A80 Dangerous and negligent acts endangering people,A89 Other dangerous or negligent acts endangering people,1,A89,Other dangerous or negligent acts endangering people,7,7
16743,2018,3342,MOUNT WALLACE,A Crimes against the person,A20 Assault and related offences,A212 Non-FV Serious assault,1,A212,Non-FV Serious assault,10,10
16744,2018,3342,MOUNT WALLACE,A Crimes against the person,"A70 Stalking, harassment and threatening behaviour",A732 Non-FV Threatening behaviour,1,A732,Non-FV Threatening behaviour,7,7
16745,2018,3342,MOUNT WALLACE,A Crimes against the person,A80 Dangerous and negligent acts endangering people,A89 Other dangerous or negligent acts endangering people,1,A89,Other dangerous or negligent acts endangering people,7,7
16750,2018,3345,GORDON,A Crimes against the person,A20 Assault and related offences,A232 Non-FV Common assault,1,A232,Non-FV Common assault,10,10
16754,2018,3345,GORDON,A Crimes against the person,A80 Dangerous and negligent acts endangering people,A89 Other dangerous or negligent acts endangering people,2,A89,Other dangerous or negligent acts endangering people,7,14
